Species,alpha_D (log10),Emet (eV),#Temp (Met.Rate),p value (Met.Rate),Correlation coef. (r2),Vh (atm),Eo (eV),#Temp (Pcrit),p value (Pcrit),Correlation coefficient (r2),Phi_crit (histogram),Phi_crit (F1 score),Num. OBIS Occur.,FAS=MMR/RMR,Reference
    'Penaeus aztecus',       NaN,       NaN,0,       NaN,0,0.1044,0.2157,2,       NaN,1,1.3067,1.2365,51073,       NaN,    'Sanchez ea '91 CBP 100A: 69-73'
    'Penaeus californiensis',0.967,0.1717,9,0.0001,0.9779,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Villarreal & Ocampo '93 CBP 106A: 97-101'
    'Penaeus esculentus',0.4854,0.7404,90,0,0.8853,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dall '86 JEMBE 96: 57-74'
    'Penaeus vannamei',       NaN,       NaN,0,       NaN,0,0.0168,0.2867,7,0.0021,0.6926,7.0953,7.4219,17,       NaN,    'Martinez Palacios ea '96 JAquaTrop 11: 59-65'
    'Phorgulsergia bisulcata',0.8497,0.4247,3,0.0492,0.9595,0.072,0.5,3,0.0211,0.9981,       NaN,       NaN,0,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Phronima & Phronimella',0.3136,2.2823,11,0.5012,0.8925,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Platichthys flesus',2.0324,0.6487,8,0.0019,0.5991,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,5.8562,"    'Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfi…'"
    'Pleuroncodes planipes',       NaN,0.5715,4,0.0004,0.9982,0.0033,0.3467,4,0.0041,0.8964,       NaN,       NaN,81,       NaN,    'Childress '75 CBP 50A: 787-799'
    'Pleuronectes platessa',1.8256,0.6837,11,0.0004,0.9187,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,3.5357,"    'Priede, I. G., & Holliday, F. G. T. (1980). The use of a new tilting tunnel re…'"
    'Polinices catena',0.9039,0.2832,221,0,0.5961,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Macé & Ansell '82 JEMBE 60: 275-292'
    'Pontella sp.',1.1753,1.0359,13,0.0051,0.9428,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Portunus trituberculatus',1.0619,0.6333,26,0.006,0.6111,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Tamanoi ea '79 BullFacFishNagasaki 47: 21-26'
    'Pyrrhosoma nymphula',0.147,0.7809,335,0,0.7438,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Lawton '71 JAnimEcol 40: 385-423'
    'Riftia pachyptila',0.5409,0.5067,12,0.0005,0.5124,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Childress ea '84 MarBiol 83: 109-124'
    'Sagitta sp.',0.5757,0.3949,116,0,0.8116,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Nival ea '72 MarBiol 17: 63-76'
    'Salmo salar',       NaN,       NaN,0,       NaN,0,0.0971,0.3688,4,0.02,0.9934,2.1788,2.5719,8678,4.03,"    'Remen et al., 2013'"
    'Salpa fusiformis',-0.0724,0.87,2,       NaN,1,0.0285,0.5874,2,       NaN,1,4.9498,4.2458,1551,       NaN,    'Cetta ea '86 MarBiol 91: 529-537'
    'Saratherodon mossambicus',1.8,0.5709,8,0.0001,0.9737,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Clarke and Johnson, 1999'"
    'Sciaenops ocellatus',0.9259,0.4344,2,       NaN,1,0.0437,0.1874,2,       NaN,1,3.3,3.2,22792,3.3391,    'Ern et al. 2016'
    'Scolecithrix danae',0.598,1.7578,33,0.0264,0.7004,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Scrobicularia plana',1.0682,0.6612,147,0,0.8591,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Hughes '70 JAnimEcol 39: 357-381'
    'Scyliorhinus canicula',0.9203,0.6436,3,0.0251,0.9866,0.0982,0.2317,3,0.0263,0.9568,2.0356,2.1103,103926,       NaN,"    'Butler and Taylor, 1975'"
    'Sepia officinalis',       NaN,       NaN,0,       NaN,0,0.0148,0.835,2,       NaN,1,3.9264,2.6,3453,       NaN,"    'Zielinski et al., 2001'"
    'Sepioteuthis lessoniana',1.1909,0.5129,15,0,0.9088,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Segawa '95 FishSci 61: 743-746'
    'Sergia fulgens',1.0758,0.7696,3,0.0054,0.9999,0.078,0.5625,3,0.0022,1,1.0706 (1.05),1.1,41,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Sergia grandis',0.848,0.5508,2,       NaN,1,0.0461,0.4267,2,       NaN,1,1.9941,1.3,225,       NaN,    'Donnelly and Torres 1988'
    'Sergia tenuiremis',0.6964,0.3535,3,0.1316,0.7068,0.0552,0.3519,3,0.0179,0.9965,3.1857 (0.15),3.329,156,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Simocephalus vetulus',1.1009,0.0441,69,0,0.7345,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Sharma & Pant '84 Hybiol 111: 37-42'
    'Stenobrachius leucopsarus',0.8509,0.692,2,       NaN,1,0.0427,0.692,2,       NaN,1,6.9173,       NaN,5247,       NaN,"    'Torres et al., 1979'"
    'Stichopus chloronotus',-1.2026,2.627,26,0.0002,0.9896,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Uthicke '98 in Mooi & Telford (eds) Proc. 9th IEC: 531-536'
    'Strongylocentrotus droebachiensis',0.3003,0.4875,49,0,0.9051,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Percy '72 PhysZool 45: 277-289'
    'Strongylocentrotus intermedius',0.2204,0.4549,8,0,0.9894,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Sedova '00 RussJMarBiol 26: 51-53'
    'Styela plicata',0.4338,0.3466,7,0.0001,0.9294,0.1609,-0.191,7,0,0.8224,1.4099,1.4908,752,       NaN,    'Fisher '76 BiolBull 151: 297-305'
    'Systellaspis debilis',0.7796,0.4187,6,0.0008,0.8929,0.045,0.227,6,0.0001,0.7918,2.2842,1.8356,1296,       NaN,    'Davenport & Trueman '85 CBP 81A: 857-863'
    'Talorchestia margaritae',1.0899,0.4924,37,0,0.751,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Venables '81 Crustaceana 41: 89-94'
    'Tarletonbeania crenularis',       NaN,       NaN,0,       NaN,0,0.0485,0.2133,2,       NaN,1,3.9339,4.231,1766,       NaN,"    'Torres et al., 1979'"
    'Tautogolabrus adspersus',0.802,0.327,2,       NaN,1,0.0578,0.2445,2,       NaN,1,3.3374,3.4472,6454,       NaN,"    'Corkum and Gamperl, 2009'"
    'Thais coronata',0.1025,0.5067,157,0,0.602,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Theodoxus fluviatilis',0.9222,0.6066,50,0,0.6839,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Hamburger & Dall '90 Hybiol 199: 117-130'
    'Theristus floridanus',-0.1035,0.4206,3,0.0467,0.9904,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Wieser & Schiemer '77 JEMBE 26: 97-106'
    'Thysanoessa inermis',0.6833,0.1665,270,0,0.8527,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Sameoto '76 CanJFAS 33: 2568-2576'
    'Thysanoessa raschii',0.6638,0.2501,111,0,0.7522,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Agersted ea '11 MarBiol 158: 1387-1402'
    'Thysanoessa sp.',1.4161,0.3669,18,0,0.8888,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Båmstedt '79 in Naylor & Hartnoll (eds) Proc. 13th EMBS: 267-274'
    'Thysanoessa spinifera',1.9081,0.8401,73,0.0113,0.6897,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Tremblay '13 PhD Thesis'
    'Tigriopus brevicornis',-1.7014,0.562,2,       NaN,1,0.0088,0.4397,2,       NaN,1,       NaN,       NaN,7,       NaN,"    'Pcrit: McAllen et al., 1999; Mass: McAllen and Taylor 2001'"
    'Tilapia mossambica',2.2308,0.4483,6,0.0169,0.893,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Clarke and Johnson, 1999'"
    'Tinodes waeneri',1.1324,1.018,70,0,0.8481,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Hamburger & Dall '90 Hybiol 199: 117-130'
    'Transennella tantilla',0.1462,0.9558,31,0,0.9027,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Pamatmat '69 AmZool 9: 418-426'
    'Uca cumulanta',-0.5818,1.9376,67,0.0233,0.6227,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Uca maracoani',0.672,0.1524,70,0,0.6872,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Uca rapax',0.401,0.6347,53,0.0021,0.7491,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Undinula vulgaris',1.0274,1.1217,31,0.0252,0.6621,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Zoarces viviparus',       NaN,       NaN,0,       NaN,0,0.0555,0.7894,5,0,0.9312,2.8637,       NaN,19915,       NaN,"    'Portner and Knust, 2008'"
